voice,unit_name,favorite,guild_id,catch_copy,unit_id,voice_id,race,age,blood_type,guild,weight,birth_day,self_text,birth_month,height
德井青空,莉玛（灰姑娘）,打理毛发、聊天,11,充满少女心的毛茸茸小动物,115801,0,兽人族,18,A,伊丽莎白牧场,100,14,我是很普通的、随处可见的女生喔！\n除、除了外表以外……,3,150
小松未可子,真琴（灰姑娘）,做点心,10,大大咧咧、重情义的女孩,115901,0,兽人族,17,O,自卫团,54,9,肚子饿了就告诉我哦\n如果不介意的话\n我会给你做超美味的简餐喔！,8,168
内田真礼,真步（灰姑娘）,空想、收集毛绒玩偶,10,真步真步王国的公主,116001,0,兽人族,16,O,自卫团,42,22,我是真步真步王国的公主，真步公主哟！\n你的表情怎么这么奇怪啊？\n真步真步王国是一个很遥远的国度哦？,9,155
种崎敦美,克罗依（圣学祭）,飞镖,16,在城里长大的阴暗系精灵,116201,0,精灵,17,O,圣特蕾莎女子学院（好朋友社）,42,7,,8,154
佐仓绫音,千爱瑠（圣学祭）,跳舞、卡拉OK,16,自由奔放无拘无束的现代女孩,116301,0,人类,16,O,圣特蕾莎女子学院（好朋友社）,46,15,,9,156
小原好美,优妮（圣学祭）,读书,16,沉睡在书库里的小小贤者,116401,0,人类,18,O,圣特蕾莎女子学院（好朋友社）,36,28,,2,142
藤田茜,祈梨（时间旅行）,游戏,17,伶牙俐齿的胆小龙族,116501,0,龙族,13,AB,龙族据点,???,29,,9,145
小市真琴,嘉夜（时间旅行）,格斗技,17,用拳头说话的龙族打手少女,116601,0,龙族,16,B,龙族据点,???,25,,6,156
花泽香菜,碧（工作服）,交朋友的模拟训练,6,憧憬「朋友」的森林精灵女孩,116701,0,精灵,13,AB,森林守卫,44,6,,6,158
沼仓爱美,珠希（工作服）,与猫玩耍,12,锄强扶弱的猫系少女,116801,0,兽人族,18,AB,墨丘利财团,48,1,赚钱的事情请务必\n跟我说喵！　如果能赚钱的话\n1金币也不会放过，这是我的信条喵♪,3,158
田所梓,美冬（工作服）,佣兵等兼职,12,于公于私都优先效率的佣兵少女,116901,0,人类,20,O,墨丘利财团,49,11,我来当你的师父！\n当然，不是免费的，\n我会收时薪的哦。,11,163
桥本千波,惠理子（夏日）,实验、裁缝、料理,13,对命中注定之人过于执着的少女,117001,0,魔族,16,B,暮光流星群,43,30,我有个别名叫“破坏狂”……\n不过，没必要害怕，\n因为你是我重要的命运之人……,7,154
生天目仁美,静流（夏日）,所有家务事,3,姐姐我会照顾你喔！,117101,0,人类,18,O,拉比林斯,54,24,日常生活就由姐姐来照顾吧！\n不管是料理，洗衣服，还是打扫，\n洗澡时也会给你擦背喔！,10,168
日笠阳子,望（夏日）,舞台鉴赏、跳舞,4,高人气唱跳偶像,117201,0,人类,17,B,慈乐之音,40,24,,1,157
福原绫香,千歌（夏日）,各种乐器,4,为了保护人们而歌唱的唱唤士少女,117301,0,人类,17,O,慈乐之音,46,3,为了保护人们的和平，我会使用唱唤术\n来战斗……最近，也、也有作为偶像\n来参加活动，我还不太习惯那样……,6,163
木户衣吹,纺希（夏日）,裁缝,4,喜爱时尚的可爱女生,117401,0,人类,14,AB,慈乐之音,45,7,,9,153
三石琴乃,深月（大江户）,研究、实验,13,爱好实验的危险科学研究者,117501,0,人类,27,A,暮光流星群,53,7,我是个科学研究者，\n不过对医疗方面也比较了解，\n要是生病了就让我来给你看看吧。,3,166
大空直美,雪（大江户）,照镜子,15,我比任何人都美丽,117601,0,精灵,14,AB,纯白之翼　兰德索尔分部,40,10,我可真美啊……\n既可爱又漂亮真的是一种罪过，\n可我天生如此，没办法♪,10,150
高森奈津美,香织（万圣节）,跳舞、空手道,10,总是说「没什么大不了～」的天然呆女孩,117701,0,兽人族,19,A,自卫团,53,7,哈喽☆唱着跳着，\n情绪高涨起来吧～\n来，你也一起跳舞吧！,7,158
佐藤聪美,妮侬（万圣节）,忍术开发,15,请给我讲讲东国的神秘吧！,117801,0,人类,16,O,纯白之翼　兰德索尔分部,51,31,寿司、艺伎、天妇罗……\n哈唔～\n东国的文化真棒！,8,163
上坂堇,铃奈（万圣节）,时尚,14,天真烂漫，充满魅力的知名模特,117901,0,魔族,18,O,月光学院,48,10,秀才，你好呀～我对汉字和计算\n有点……呃，很不擅长～\n不过啊，时尚方面就交给我吧～,4,167
Lynn,克蕾琪塔,数钱、阴谋诡计,18,觉醒了忠义之心的女商人,118001,0,人类,26,A,里士满商工会,57,19,,9,160
原田彩枫,兰法,唱歌、看书、写诗,19,为追求寂静而歌唱的阴暗少女,118101,0,魔族,20,O,愤怒军团,53,28,,12,165
鬼头明里,美空,没有,19,开朗活泼，但是喜爱破坏的活力少女,118201,0,人族,16,A,愤怒军团,??,2,,7,159
洲崎绫,花凛,文书工作、散步、桌游,,在【公会管理协会】任职的亲切大姐姐,118501,0,人类,24,A,？？？,43,12,,9,152
相坂优歌,涅比亚,恶作剧,,在幻雾中嬉戏的调皮妖精向导,118601,0,？？？,??,?,？？？,???,?,,?,???
伊藤静,伊绪（黑暗）,恋爱小说、恋爱剧、恋爱漫画鉴赏,14,魅惑众多男性的纯洁女教师,119001,0,魔族,23,B,月光学院,52,14,谢谢你一直帮助我，\n我明明比较年长，\n却总是依赖你，真抱歉～,8,162
长妻树里,空花（黑暗）,阅读小说,15,最喜欢妄想！　其实是很爱害羞的女孩子,119101,0,人类,18,AB,纯白之翼　兰德索尔分部,49,19,我在想你的事……\n让无法反抗的空花做各种事情，\n唔、唔呼呼……,11,157
新田惠海,真阳（圣诞节）,相声,11,使大家展露笑容的搞笑牧场主,119201,0,人类,20,B,伊丽莎白牧场,35,3,我希望能成为可以随时让大家展露笑容的\n最棒艺人！\n一起加油吧！,3,142
阿澄佳奈,璃乃（圣诞节）,裁缝,3,黏人，滔滔不绝的妹妹系少女,119301,0,人类,15,A,拉比林斯,44,25,虽然你可能不记得了……\n我是你的妹妹喔！\n所以，可以叫你哥哥吗？,8,156
雨宫天,宫子（圣诞节）,吃布丁,7,最喜欢布丁的幽灵女孩,119901,0,魔族,14,B,恶魔伪王国军,32,23,我不明白难懂的事～\n只要每天都能吃到布丁，\n就算一直是幽灵也没关系～,1,130
生天目仁美,静流（黑暗）,所有家务事,3,姐姐我会照顾你喔！,120001,0,人族,18,O,拉比林斯,54,24,日常生活就由姐姐我来照顾吧！\n不管是料理，洗衣服，还是打扫，\n洗澡时也会给你擦背喔！,10,168
近藤玲奈,雪菲（新年）,读书、伸展,1,丧失记忆的龙族少女,120701,0,龙族,14,B,美食殿堂,???,14,,12,147
佐藤利奈,流夏（新年）,钓鱼,13,充满人情味的风流潇洒「大姐头」,120801,0,人类,25,B,暮光流星群,54,11,,7,167
丹下樱,伊莉亚（新年）,征服世界,7,旧时统率黑夜的最强吸血鬼,120901,0,魔族,??,A,恶魔伪王国军,50,5,,5,172
M·A·O,佩可莉姆（超负荷）,边走边吃、料理,1,肚子非常容易饿，充满活力的少女,121001,0,人类,17,O,美食殿堂,46,31,,3,156
立花理香,凯露（超负荷）,和猫玩耍,1,倒在路边的神秘猫耳魔法师,121101,0,兽人族,14,A,美食殿堂,39,2,,9,152
泽城美雪,菈比莉斯塔（超负荷）,观察人类,3,秘密结社拉比林斯的“迷宫女王”,121201,0,人类,25,AB,拉比林斯,??,25,,7,160
植田佳奈,胡桃（舞台）,观剧、过家家,9,爱哭鬼，胆小，让人想要保护的女生,121301,0,人类,12,B,咲恋救济院,40,9,那个，呃……我是、胡、胡桃……\n呼、呼诶诶诶……怎、怎么办……\n好、好害羞……对、对不起！,6,150
久野美咲,美咲（舞台）,鉴赏时尚杂志、收集化妆品,14,有点早熟，喜欢恋爱的女生,121401,0,魔族,11,A,月光学院,22,3,是你在叫我吗？\n我会用淑女的魅力让你着迷的！,1,120
大关英里,步美（怪盗）,观察,15,始终专情的纯情少女,121501,0,精灵,16,O,纯白之翼　兰德索尔分部,43,7,,4,155
藤田茜,祈梨（怪盗）,游戏,17,伶牙俐齿的胆小龙族,121601,0,龙族,13,AB,龙族据点,???,29,,9,145
高野麻美,杏奈（海盗）,小说执笔,13,相信有前世的中二病患者，「疾风之冥姬」,121901,0,魔族,17,A,暮光流星群,45,5,听好了，绝对别叫我的真名喔？\n要时常提防「机关」的耳目\n这是生存之道！,7,159
大坪由佳,忍（海盗）,占卜,7,擅长占卜的灵能少女,122001,0,魔族,18,AB,恶魔伪王国军,42,22,我从小就能看到别人\n看不到的东西。现在你后面也有\n一个人、两个人、三个人……好热闹啊。,12,157
花泽香菜,碧（露营）,交朋友的模拟训练,6,憧憬「朋友」的森林精灵女孩,122101,0,精灵,13,AB,森林守卫,44,6,,6,158
今井麻美,由加莉（露营）,逛商店,12,纯情而让人放心不下的成年女性,122201,0,精灵,22,A,墨丘利财团,55,16,总是让人看到\n我丢脸的一面，可是这种地方，\n我是不会给除你以外的人看的喔？,3,164
钉宫理恵,斑比,散步、做饭,,眷属的主人,122301,0,魔族,??,AB,？？？,41,6,,12,149
东山奈央,日和莉（夏日）,帮助别人、应援,2,最喜欢帮助别人！　积极向上的格斗少女,122401,0,兽人族,16,A,破晓之星,44,27,你好！　我是日和莉！\n如果有人遇到了困难，我就会去帮他！\n感兴趣的话，你也一起来吧？,8,155
早见沙织,怜（夏日）,读书、骑马、喝茶,2,冷酷，对凡事都很直率的剑士,122501,0,魔族,18,B,破晓之星,46,12,能和你相遇一定也是某种缘分。\n作为一起朝塔顶进发的同伴\n加油吧。拜托你了,1,163
种田梨沙,优衣（夏日）,料理、观察人类,2,擅长战斗支援的善良少女,122601,0,人族,17,O,破晓之星,47,5,虽然不知道能不能派上用场……\n不过我也会努力\n支援大家的！,4,158
小仓唯,镜华（夏日）,学习,5,懂礼貌又努力的小小优等生,122701,0,精灵,8,A,小小甜心,21,2,,2,118
诸星菫,未奏希（夏日）,恶作剧、探险,5,喜欢探险的恶作剧之王,122801,0,人族,9,O,小小甜心,27,10,恶作剧就交给我吧！\n哥哥，小心别上当喔♪,8,128
日高里菜,美美（夏日）,收集可爱的东西,5,不管是唱歌、胡萝卜还是兔子，美美都最喜欢了♪,122901,0,兽人族,10,O,小小甜心,21,3,蹦蹦，好想变成兔子啊♪　\n如果美美变成了兔子，\n就第一个给哥哥看！,4,117
相坂优歌,爱梅斯,？？？,,以新姿态继续为骑士的冒险提供支援的妖精,123001,0,？？？,??,?,？？？,???,?,,?,150
内田真礼,真步（探索者）,空想、收集毛绒玩具,10,真步真步王国的公主,123101,0,兽人族,16,O,自卫团,42,22,人家是真步真步王国的公主，真步公主！\n为什么要露出奇怪的表情？\n真步真步王国是一个很遥远的国度哦？,9,155
芹泽优,绫音（探索者）,可在室内进行的游戏,9,永远和噗吉在一起！,123201,0,人族,14,B,咲恋救济院,38,10,这孩子的名字叫噗吉。\n虽然是武器，但它会说话哦♪\n它是我非常非常重要的朋友！,5,148
和气杏未,涅亚,和可爱的正太一起玩、购物,19,最爱正太♪　辣妹系史莱姆少女,123301,0,魔族？,19,B,愤怒军团,55,13,,6,157
川澄绫子,纯（露营）,格斗技、泡澡,8,不以真面目示人，冷静沉着的女性骑士,123401,0,人类,25,A,王宫骑士团（NIGHTMARE）,50,25,,10,171
小岩井小鸟,铃（万圣节）,豆沙面包,11,玩乐与睡眠胜过一切的懒洋洋女孩,123501,0,兽人族,17,B,伊丽莎白牧场,42,1,,1,144
茅原实里,智（万圣节）,剑术、捉弄比自己大的人,8,讲义气又喜欢开玩笑的剑术少女,123601,0,人族,13,A,王宫骑士团（NIGHTMARE）,43,11,,8,149
佳村遥,七七香（万圣节）,读书、魔法,13,宅系属性全开的魔法少女,123701,0,魔族,18,O,暮光流星群,55,21,,8,166
高桥智秋,克莉丝提娜（狂野）,与强敌斗争,8,旁若无人的王宫骑士团副团长,123801,0,人族,27,O,王宫骑士团（NIGHTMARE）,??,7,,2,165
下田麻美,茉莉（狂野）,扮演英雄,8,憧憬英雄的少女见习骑士,123901,0,兽人族,12,O,王宫骑士团（NIGHTMARE）,40,25,,11,146
浅仓杏美,茜里（圣诞节）,萨克斯,7,擅长撒娇的受欢迎之人,124001,0,魔族,13,O,恶魔伪王国军,42,22,茜里还有很多不懂的事……\n所以，今后\n请多指教喔，哥哥！,11,150
原纱友里,依里（圣诞节）,所有游戏,7,怕生、爱闹别扭的女生,124101,0,魔族,13,O,恶魔伪王国军,40,22,那、那个……在、在这种时候，\n该说什么才好呢……\n呜呜，为什么就是说不出来……,11,150
川澄绫子,纯（圣诞节）,格斗技、泡澡,8,不以真面目示人，冷静沉着的女性骑士,124201,0,人族,25,A,王宫骑士团（NIGHTMARE）,50,25,,10,171
大西沙织,帆稀（新年）,绘画、读书,17,露出妖艳的微笑看透一切的卧龙头领,124501,0,龙族,25,O,龙族据点,???,17,,4,168
国府田麻理子,美里（新年）,画绘本,6,母性满溢，大家的温柔「美里老师」,124601,0,精灵,21,O,森林守卫,54,5,,9,165
三石琴乃,深月（新年）,研究、实验,13,爱好实验的危险科学研究者,124701,0,人族,27,A,暮光流星群,53,7,我是个科学研究者，\n不过对医疗方面也比较了解，\n要是生病了就让我来给你看看吧。,3,166
日笠阳子,望（解放者）,舞台鉴赏、跳舞,4,高人气唱跳偶像,124801,0,人族,17,B,慈乐之音,40,24,,1,157
小市真琴,嘉夜（解放者）,格斗技,17,用拳头说话的龙族打手少女,124901,0,龙族,16,B,龙族据点,???,25,,6,156
潘惠美,矛依未（解放者）,冒险、回忆,,彷徨的神秘少女,125001,0,人族,16,O,？？？,40,11,我就算一个人……也没事的。没关系，我已经习惯了。,8,148
沼仓爱美,珠希（咖啡厅）,与猫玩耍,12,锄强扶弱的猫系少女,125101,0,兽人族,18,AB,墨丘利财团,48,1,可以赚钱的事情务必要\n告诉我喵！　能赚钱的话，就连一个金币\n也不放过，这就是我的信条喵♪,3,158
辻步美,莫妮卡（咖啡厅）,逛点心店,15,外表和内在都是小孩子的异国军人,125201,0,人族,18,A,纯白之翼　兰德索尔分部,33,28,“白翼”，也就是纯白之翼……\n我会不辱此名，飞上高空，\n华丽地将敌人打倒！,7,140
伊藤美来,可可萝（游骑兵）,冥想、养育动植物,1,仰慕主人的小小引导者,125301,0,精灵,11,B,美食殿堂,35,11,我是主人的引导者，\n我会诚心诚意地恪尽职守，\n让主人满意的。,5,140
小清水亚美,栞（游骑兵）,读书、散步,11,喜欢读书的柔弱少女,125401,0,兽人族,14,A,伊丽莎白牧场,40,3,咳咳……\n虽、虽然我身体很弱，\n不过至少态度要积极……！\n啊，不过不行……一站起来就头晕……,11,153
金元寿子,姬塔（术士）,冒险、聊天,,梦想着去天空冒险的骑空士少女,125501,0,人族,17,O,？？？,45,10,,3,156
种崎敦美,毗伽菈,制作老鼠耳朵,,调和阴阳的鼠神宫巫女,125601,0,人族,14,AB,？？？,39,4,,12,145
洲崎绫,花凛（炼金术师）,文书工作、散步、桌游,,在【公会管理协会】任职的亲切大姐姐,125701,0,人族,24,A,？？？,43,12,,9,152
铃木实里,莉莉（堕天使）,花道、读书（古典文学）、东国画,20,心怀赎罪意念追求力量的妹系大和抚子,125801,0,人族,15,A,幻变少女,44,29,,4,154
前田佳织里,可璃亚（堕天使）,制作点心、照顾花卉、拉小提琴,20,背负着无法抹去的罪孽的黑翼圣女,126001,0,人族,13,O,幻变少女,42,1,,11,147
高尾奏音,普雷西娅（堕天使）,吃东西,20,继承正义之魂的天才少女，天生食欲旺盛,126101,0,兽人族,10,O,幻变少女,34,1,,3,135
丹下樱,伊莉亚（礼服）,征服世界,7,旧时统率黑夜的最强吸血鬼,126201,0,魔族,??,A,恶魔伪王国军,50,5,,5,172
大空直美,雪（礼服）,照镜子,15,我比任何人都美丽,126301,0,精灵,14,AB,纯白之翼　兰德索尔分部,40,10,我可真美啊……\n既可爱又漂亮，真的是一种罪过，\n可我天生如此，没办法♪,10,150
长谷川育美,克萝茜,午睡、给别人帮忙,,笑容满分！　充满力量的机械少女,126401,0,机械人族,??,?,？？？,总重量252,11,,11,170
河濑茉希,莱拉耶尔,午睡、试吃新甜品,,温柔又傲慢的公主,126501,0,天使族,??,?,吉奥·特尔哥尼亚,??,17,,1,162
井口裕香,似似花（夏日）,模仿、艺术鉴赏,,隐居在研究所的稳重大姐姐,126601,0,精灵,24,O,？？？,??,24,,3,149
松嵜丽,秋乃（夏日）,慈善事业,12,想要成为独当一面的商人的自强千金小姐,126701,0,人族,18,AB,墨丘利财团,45,12,只要和我在一起，\n我就不会让你在金钱上有任何不便！,3,157
今井麻美,由加莉（夏日）,逛商店,12,纯情而让人放心不下的成年女性,126801,0,精灵,22,A,墨丘利财团,55,16,总是让你看到我丢脸的一面，\n可是这种地方，我是不会给\n除你以外的人看的喔？,3,164
原田彩枫,兰法（夏日）,唱歌、读书、写诗,19,为追求寂静而歌唱的阴暗少女,126901,0,魔族,20,O,愤怒军团,53,28,,12,165
长妻树里,空花（夏日）,读小说,15,最喜欢妄想！　其实是很害羞的女孩子,127001,0,人族,18,AB,纯白之翼　兰德索尔分部,49,19,我在想你的事……\n让无法反抗的空花做各种事情，\n唔、唔呼呼…,11,157
大坪由佳,忍（夏日）,占卜,7,擅长占卜的灵能少女,127101,0,魔族,18,AB,恶魔伪王国军,42,22,我从小就能看到\n其他人看不见的东西。现在你身后就有\n一个人、两个人、三个人……真热闹呢,12,157
立花理香,凯露（插班生）,和猫一起玩,1,倒在路边的神秘猫耳魔法师,127201,0,兽人族,14,A,美食殿堂,39,2,干嘛磨磨蹭蹭的，\n真没办法，我来帮你。\n听好了？　要感谢我喔！,9,152
上坂菫,铃奈（插班生）,时尚,14,天真烂漫，充满魅力的知名模特,127301,0,魔族,18,O,月光学院,48,10,秀才，你好呀！　人家对汉字和计算\n有点……呃，很不擅长～\n不过啊，时尚方面就交给我吧～,4,167
堀江由衣,咲恋（沙漠）,经营、茶会,9,经营着救济院的温柔平民派大小姐,127501,0,精灵,17,A,咲恋救济院,43,4,节俭？不，我只是\n秉持着“不浪费”的精神\n度过每一天而已！,10,156
佐藤利奈,流夏（沙漠）,钓鱼,13,充满人情味的风流潇洒“大姐头”,127601,0,人族,25,B,暮光流星群,54,11,,7,167
丰田萌绘,琳德,与妹妹共度的假日,,认真努力的龙族女仆（姐）,127701,0,龙族,12,?,？？？,???,5,,2,145
关根明良,维尔姆,偷懒、与姐姐共度的假日,,散漫慵懒的龙族女仆（妹）,127801,0,龙族,12,?,？？？,???,5,,2,145
M·A·O,佩可莉姆（圣诞节）,边走边吃、料理,1,肚子非常容易饿，充满活力的少女,127901,0,人族,17,O,美食殿堂,46,31,那、那个……你有吃的东西吗？\n我肚子饿得不行了……,3,156
Lynn,克蕾琪塔（圣诞节）,数钱、阴谋诡计,18,觉醒了忠义之心的女商人,128001,0,人族,26,A,里士满商工会,57,19,,9,160
藤田茜,祈梨（新年）,打游戏,17,伶牙俐齿的胆小龙族,128301,0,龙族,13,AB,龙族据点,???,29,,9,145
大桥彩香,初音（新年）,和妹妹一起玩、睡回笼觉、睡午觉、早睡,6,为大家使用超能力的睡美人,128401,0,精灵,17,A,森林守卫,46,24,我是初音！　是处于困境中的人的伙伴哦！\n遇到困难的时候，随时来找我吧♪\n我会用超……魔、魔法来帮助你们的！,12,156
水濑祈,香澄（新年）,读书、推理,10,头脑清晰的美少女名侦探,128501,0,兽人族,15,AB,自卫团,41,3,,11,152
东山奈央,日和莉（星幽）,帮助别人、应援,2,最喜欢帮助他人！ 积极向上的格斗女孩,128701,0,兽人族,16,A,破晓之星,44,27,你好！　我是日和莉！\n如果有人遇到了困难，我就会去帮他！\n感兴趣的话，你也一起来吧？,8,155
早见沙织,怜（星幽）,读书、骑马、喝茶,2,冷酷，对凡事都很直率的剑士,128801,0,魔族,18,B,破晓之星,46,12,能与你相遇也是一种缘分。\n作为一起朝塔顶进发的同伴\n加油吧。请多指教。,1,163
种田梨沙,优衣（星幽）,料理、观察人类,2,擅长战斗支援的善良少女,128901,0,人,17,O,破晓之星,47,5,虽然不知道能不能派上用场……\n不过我也会努力\n支援大家的！,4,158
桑岛法子,厄里斯,听骑士君的话,,盛放于悲剧的根源处的美丽黑玫瑰,129001,0,人族,??,?,？？？,??,15,,2,168
小原好美,优妮（冬日）,读书,16,沉睡在书库里的小小贤者,129301,0,人族,18,O,圣特蕾莎女子学院（好朋友社）,36,28,,2,142
种崎敦美,克罗依（冬日）,飞镖,16,在城里长大的阴暗系精灵,129401,0,精灵,17,O,圣特蕾莎女子学院（好朋友社）,42,7,,8,154
佐仓绫音,千爱瑠（冬日）,跳舞、卡拉OK,16,自由奔放无拘无束的现代女孩,129501,0,人族,16,O,圣特蕾莎女子学院（好朋友社）,46,15,,9,156
立花日菜,银莲,花卉养护、拔刺,,身缠孤绝香气的花之妖魔人,129601,0,妖魔人,13,A,？？？,39,2,,4,145
大久保瑠美,涅妃＝涅菈,过家家、观察人类,,万魔的顶点，炼狱的公主,129701,0,妖魔人,??,?,？？？,??,31,,12,139
小松未可子,真琴（教官）,做点心,10,大大咧咧、重情义的女孩,129801,0,兽人族,17,O,自卫团,54,9,肚子饿了就告诉我哦，\n如果不介意的话\n我会给你做超美味的饭哦！,8,168
桥本千波,惠理子（教官）,实验、裁缝、料理,13,对命中注定之人过于执着的少女,129901,0,魔族,16,B,暮光流星群,43,30,我有个别名叫“破坏狂”……\n不过，没必要害怕，\n因为您是我重要的命运之人……,7,154
菲鲁兹・蓝,大和,教导妹妹们,21,受厄运垂青的盗贼公会的头领长女,130001,0,精灵,21,B,班迪姐妹,55,8,,1,168
石见舞菜香,若菜,编织品,21,劳碌但活力满满。盗贼公会的次女,130101,0,人族,16,A,班迪姐妹,45,30,,5,158
花井美春,吹雪,戏弄若菜,21,傲娇但超级天才！　盗贼公会的三女,130201,0,兽人族,12,AB,班迪姐妹,37,5,,3,136
小仓唯,镜华（春日）,学习,5,懂礼貌又努力的小小优等生,130701,0,精灵,8,A,小小甜心,21,2,,2,118
悠木碧,铃莓（春日）,服侍,9,为了大小姐而努力的糊涂女仆,130801,0,人族,15,O,咲恋救济院,43,12,呜呜……对不起～\n我又让厨房爆炸了～\n这样真不配当女仆……,12,154
田中美海,库露露,打扫，对宝石以及游乐园进行保养维护,,什么都愿意给别人的冒失兔子总管,130901,0,宝石兔族,16,A,吉奥·特尔哥尼亚,46,2,,8,158
内田真礼,真步（梦想乐园）,空想、收集毛绒玩偶,10,真步真步王国的公主,131001,0,兽人族,16,O,自卫团,42,22,人家是真步真步王国的公主，真步公主！\n为什么要露出奇怪的表情？\n真步真步王国是一个很遥远的国度哦？,9,155
和气杏未,涅亚（夏日）,和可爱的正太一起玩耍、购物,19,最爱正太♪　辣妹系史莱姆少女,131101,0,魔族？,19,B,愤怒军团,55,13,,6,157
鬼头明里,美空（夏日）,基本没有,19,开朗活泼，但是喜爱破坏的活力少女,131201,0,人族,16,A,愤怒军团,??,2,,7,159
铃木实里,莉莉（夏日）,花道、读书（古典文学类）、东国画,20,心怀赎罪意念追求力量的妹系大和抚子,131601,0,人族,15,A,幻变少女,44,29,,4,154
相坂优歌,爱梅斯（夏日）,？？？,,以新的姿态继续为骑士的冒险提供支援的妖精,131701,0,？？？,??,?,？？？,???,?,,?,150
大西沙织,帆稀（夏日）,绘画、读书,17,露出妖艳的微笑看透一切的卧龙头领,131801,0,龙族,25,O,龙族据点,???,17,,4,168
高桥李依,爱蜜莉雅（夏日）,梳理帕克的毛、学习,,银发的文静半精灵,131901,0,半精灵,114,?,？？？,??,23,,9,164
坂本真绫,艾姬多娜（夏日）,满足求知欲,,强欲魔女,132001,0,？？？,??,?,？？？,???,24,,1,164
水濑祈,雷姆（夏日）,鉴赏戏剧、诗歌散文,,有如鬼助的万能妹妹女仆,132101,0,鬼族,17,?,？？？,??,2,,2,154
日笠阳子,望（炼金术师）,舞台鉴赏、跳舞,4,高人气唱跳偶像,132201,0,人族,17,B,慈乐之音,40,24,,1,157
铃代纱弓,露易丝玛丽,妄想,22,闷骚型易动情炼金术师,132301,0,兽人族,17,A,阿尔凯斯炼金堂,47,2,,1,160
青山吉能,彩羽,捉虫,22,拥有魁梧身体与天真心灵的天才剑士,132401,0,人族,26,O,阿尔凯斯炼金堂,53,8,,9,170
井上穗乃花,苑,尝试健康补剂,22,小孩身大人脑的炼金堂店主,132501,0,精灵,10,AB,阿尔凯斯炼金堂,34,8,,11,136
河濑茉希,莱拉耶尔（圣诞节）,午睡、试吃新甜品,,温柔又傲慢的公主,132801,0,天使族,??,?,？？？,??,17,,1,162
伊藤静,伊绪（圣诞节）,恋爱小说、恋爱剧、恋爱漫画鉴赏,14,魅惑众多男性的纯洁女教师,132901,0,魔族,23,B,月光学院,52,14,谢谢你一直帮助我，\n我明明比较年长，\n却总是依赖你，真抱歉～,8,162
富田美忧,格蕾丝,水墨画,,冷静幽怨、却又天然呆的幽灵守护骑士,133001,0,人族,20,AB,？？？,0,31,,10,166
长绳麻理亚,薇奥莉特,搜集香水、阅读故事,,在冥府绽放的不死族公主,133101,0,人族,17,A,？？？,49,21,,2,158
辻步美,莫妮卡（新年）,逛点心店,15,外表和内在都是小孩子的异国军人,133201,0,人族,18,A,纯白之翼　兰德索尔分部,33,28,“白翼”，也就是纯白之翼……\n我会不辱此名，飞上高空，\n华丽地将敌人打倒！,7,140
堀江由衣,咲恋（新年）,经营、茶会,9,经营着救济院的温柔平民派大小姐,133501,0,精灵,17,A,咲恋救济院,43,4,节俭？不，我只是\n秉持着“不浪费”的精神\n度过每一天而已！,10,156
水桥香织,美杜莎,与美杜莎那翱翔天际,,任性又倔强的幺妹系蛇女,133601,0,妖魔人,14,B,？？？,??,7,,12,141
泽城美雪,菈比莉斯塔（阿尔法）,观察人类,3,秘密结社拉比林斯的“迷宫女王”,133701,0,人族,25,AB,拉比林斯,??,25,,7,160
井口裕香,似似花（阿尔法）,模仿、艺术鉴赏,,隐居在研究所的稳重大姐姐,133801,0,精灵,24,O,？？？,??,24,,3,149
高桥智秋,克莉丝提娜（阿尔法）,与强敌斗争,8,旁若无人的王宫骑士团副团长,133901,0,人族,27,O,王宫骑士团（NIGHTMARE）,??,7,,2,165
相坂优歌,菲欧,与你一起冒险,,与你相伴的指引妖精,134001,0,？？？,??,?,？？？,???,?,,?,???
原田彩枫,兰法（礼服）,唱歌、读书、写诗,19,为追求寂静而歌唱的阴暗少女,134301,0,魔族,20,O,愤怒军团,53,28,,12,165
福原绫香,千歌（礼服）,各种乐器,4,为了保护人们而歌唱的唱唤士少女,134401,0,人族,17,O,慈乐之音,46,3,为了保护人们的和平，我会使用唱唤术\n来战斗……最近，也、也有作为偶像\n来参加活动，我还不太习惯那样……,6,163
长谷川育美,克萝茜（空战）,午睡、给别人帮忙,,笑容满分！　充满力量的机械少女,134501,0,机械人族,??,?,？？？,总装备重量278.1,11,,11,170
花泽香菜,碧（驾驶员）,交朋友的模拟训练,6,憧憬“朋友”的精灵之森女孩,134601,0,精灵,13,AB,森林守卫,44,6,,6,158
筱田南,凤凰,泡温泉,,伟大而优雅，有时呆萌呆萌,134701,0,妖魔人,18,?,？？？,40,10,,10,142
木户衣吹,纺希（吉奥·矶汉拿）,裁缝,4,喜爱时尚的可爱女生,134801,0,人族,14,AB,慈乐之音,45,7,,9,153
幸村惠理,花音,狩猎、收集珠宝,,虽为奴隶却依然高贵的没落千金,134901,0,妖魔人,18,B,？？？,48,9,,10,155
桑岛法子,厄里斯（夏日）,听骑士君的话,,盛放于悲剧的根源处的美丽黑玫瑰,135001,0,人族,??,?,？？？,??,15,,2,168
近藤玲奈,雪菲（夏日）,读书、伸展,1,丧失记忆的龙族少女,135101,0,龙族,14,B,美食殿堂,???,14,,12,147
高尾奏音,普雷西娅（夏日）,吃东西,20,继承正义之魂的天才少女，天生食欲旺盛,135201,0,兽人族,10,O,幻变少女,34,1,,3,135
